PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-826,GANDALFXX CA,20982,1,-2000,,,,
P21119-7,Uber,21115,218,-629203,,,,
P21119-178,Sp Techmikeny,20354,4,1037842,,,,
P21119-227,MED ALERT,21083,1,-4999,,,,
P21119-286,AplPay The,21036,2,-3180,,,,
P21119-555,WISEY-ADHD.COM X6714LAS,20836,8,-47992,,,,
P21119-725,OF,21028,2,-1500,,,,
P21119-784,VINES PIZZA,20282,1,-1608,,,,
P21119-800,1-800-Contacts,21016,1,-20717,,,,
P21119-824,FUTURE COMMUNICATIONS,20639,1,-4899,,,,
P21119-211,THE ATLANTIC,21096,3,-18997,,,,
P21119-235,Target,21108,120,-1175072,,,,
P21119-439,OPENAI *CHATGPT,21099,17,-112928,,,,
P21119-498,IVIDEON IRVINE,20253,2,-9000,,,,
P21119-547,A Medium,20747,22,-15500,,,,
P21119-668,Academia,20954,1,-14900,,,,
P21119-816,OPENAI SAN,20990,1,-1640,,,,
P21119-54,Freeshipping.com Ct,20911,4,7600,,,,
P21119-170,Tesla,21082,3,-16831,,,,
P21119-219,AplPay SIMPLE,21084,1,-1999,,,,
P21119-423,PHONE.COM XXXX1234,20365,1,-2369,,,,
P21119-482,PUREHEALTH RESEARCH,20768,2,-24300,,,,
P21119-676,Subway,20734,2,-3753,,,,
P21119-46,Chipotle,20941,4,-9403,,,,
P21119-162,"Rocket Software,",20781,5,-170172,,,,
P21119-431,BP,20991,16,-43627,,,,
P21119-490,Pizza Bella,20333,2,-1188,,,,
P21119-604,Whole Foods,21105,17,-377094,,,,
P21119-660,Amazon Prime,20397,1,34141,,,,
P21119-733,OFFICE OF,20781,1,-63000,,,,
P21119-792,VARIETY COFFEE,21098,1,-327,,,,
P21119-808,American Express,20802,1,-28347,,,,
P21119-166,Gristedes,20968,20,-139251,,,,
P21119-231,GREENGEEKSXXX-XXX--XXX-7483 DE,21103,32,-105568,,,,
