PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-256,MTA,05-25-2025,1,-2.90,,,,
P21119-501,Cloud,06-01-2025,3,-0.25,,,,
P21119-525,New York,09-08-2025,8,-75.45,,,,
P21119-754,AplPay BLINKIST,12-14-2024,1,-79.99,,,,
P21119-16,CVSExtraCare -XXX-7287,10-16-2025,25,-126.32,,,,
P21119-132,Chelsea Florists,03-20-2025,1,-50.95,,,,
P21119-191,PARAMOUNT+,05-09-2025,3,-25.41,,,,
P21119-305,CTLP*FABER COE,08-03-2025,1,-8.00,,,,
P21119-460,SUPERHUMAN SAN,03-12-2025,50,-1040.00,,,,
P21119-509,CLOUD 6WD89V,07-01-2024,1,-0.05,,,,
P21119-697,Condor,07-29-2024,2,-17088.80,,,,
P21119-762,PSYCHOTHERAPY.NET SAUSALITO,03-28-2024,1,-297.00,,,,
P21119-24,Delta,07-01-2025,19,-4613.52,,,,
P21119-183,TESLA MOTORS,11-04-2024,2,-198.00,,,,
P21119-248,Rocket Lawyer,01-31-2024,5,59.99,,,,
P21119-377,Techmikeny,09-04-2023,3,-11305.32,,,,
P21119-452,HEAVENLY FOOD,01-06-2025,1,-45.57,,,,
P21119-476,Krispy Kreme,03-13-2023,1,-10.42,,,,
P21119-89,Cash,07-25-2025,1,-123.60,,,,
P21119-181,SP PLUS,11-08-2024,1,-42.00,,,,
P21119-319,PEACOCK*E70CB PREMIUNEW,11-04-2023,1,-5.99,,,,
P21119-375,Grindr,06-29-2025,6,-77.94,,,,
P21119-450,Blue,06-08-2023,1,-224.21,,,,
P21119-474,LATE FEE,09-08-2023,1,-39.00,,,,
P21119-523,USPS,09-11-2025,6,-115.78,,,,
P21119-752,HUDSONST1740,05-26-2024,2,-27.74,,,,
P21119-14,REMARKABLE OSLO,03-01-2025,24,-78.24,,,,
P21119-130,AplPay XXX1370,01-30-2025,1,-27.60,,,,
P21119-197,Panera Bread,07-01-2023,2,-25.93,,,,
P21119-466,CRAFT COFFEE,04-23-2025,31,-1219.76,,,,
P21119-695,CORA.COMPUTER -,09-15-2025,1,-15.00,,,,
P21119-760,CLOUD XH9FXF,01-01-2025,1,-0.05,,,,
P21119-22,SMS LIMO,09-18-2025,1,-127.00,,,,
P21119-81,P.SKOOL.COM/JCJVJ EL,10-11-2025,19,-1463.00,,,,
P21119-138,Tisch Hospital,09-15-2023,1,-16.33,,,,
P21119-246,PHONE.COM XXXX4452,01-04-2024,1,-23.98,,,,
P21119-311,Slice,06-05-2024,2,-143.01,,,,
P21119-515,PwP NYTIMES,10-15-2025,22,-158.03,,,,
P21119-744,HUDSONSTXXXX 1738,07-03-2023,1,-7.80,,,,
P21119-768,CLOUD W8XMT4,08-01-2024,1,-0.05,,,,
P21119-189,SCRIBD *676300353,10-02-2025,1,-11.99,,,,
P21119-254,MUNIRA R,08-12-2025,2,0.00,,,,
P21119-303,THE HUNGRY,04-10-2024,1,-69.88,,,,
P21119-458,AplPay APPLE.COM/BILINTERNET,04-03-2024,2,52.87,,,,
P21119-507,CLOUD J774SZ,04-01-2024,1,-0.05,,,,
P21119-10,The Weather,10-08-2025,19,-103.17,,,,
P21119-193,AplPay NEW,10-03-2025,13,-620.68,,,,
P21119-258,MOXY FRANCHISED,08-15-2023,1,-182.04,,,,
P21119-307,Dollar Shave,09-04-2024,5,-54.45,,,,
P21119-462,XXX CAFE,11-12-2023,1,-286.85,,,,
P21119-691,ASKTRIM.COM WALNUT,05-26-2023,1,-99.00,,,,
P21119-26,Shell,10-15-2025,51,-1118.09,,,,
P21119-85,CBI*CLEVERBRIDGE.NETXXX-XXX-9570 IL,12-13-2024,2,-354.06,,,,
P21119-315,CHELSEA SQUARE,04-29-2025,3,-171.18,,,,
P21119-371,Grindr LLC,03-28-2023,5,-38.05,,,,
P21119-470,Wal-Mart,09-21-2025,25,-3396.74,,,,
P21119-519,NEWARK AP,05-22-2024,2,-12.00,,,,
P21119-748,AplPay BIG,06-29-2025,1,-30.76,,,,
P21119-185,TESCO STORES,08-11-2025,1,-25.76,,,,
P21119-250,NAHUNTA PORK,01-01-2024,1,-79.27,,,,
P21119-379,TASKRABBIT* RECEIPT,10-10-2025,2,-536.82,,,,
P21119-454,BNBNEOBODORDERS.COM 888-6890716,06-04-2023,1,-19.99,,,,
P21119-478,LA MIA,02-16-2023,1,-10.40,,,,
P21119-503,Canyon Cafe,01-14-2024,2,-428.00,,,,
P21119-527,QUEENSBORO CAR,03-21-2023,1,-29.20,,,,
P21119-756,PRMS INC,08-29-2025,2,-5762.00,,,,
P21119-18,CVS,07-17-2025,31,-850.92,,,,
P21119-134,CHELSEA JUICE,07-09-2023,1,-13.54,,,,
P21119-242,PHONE.COM XXXX5441,05-03-2024,1,-23.88,,,,
P21119-511,Adjustment,09-17-2025,3,5530.97,,,,
P21119-699,"Calm.com, Inc",08-26-2023,1,-69.99,,,,
P21119-740,WF PL,03-18-2025,2,-226.10,,,,
P21119-764,Professional Pt,12-24-2024,1,-99.99,,,,
P21119-241,Twitter,06-22-2024,8,-139.36,,,,
P21119-469,LAGUARDIA AP,06-26-2023,1,-6.53,,,,
P21119-510,"It Creations,",11-06-2023,1,-4175.00,,,,
P21119-698,COORS PHARMACY,08-04-2024,1,-12.97,,,,
P21119-747,HTTPSDFINKE NY,08-15-2024,3,-27.10,,,,
P21119-184,Fairfield Inn,09-02-2023,2,-286.05,,,,
P21119-257,The UPS,03-25-2024,1,-7.35,,,,
P21119-378,TECH REVIEW,09-30-2024,2,-120.00,,,,
P21119-502,Janovic Paint,03-31-2023,7,-514.98,,,,
P21119-526,NIKEPOS_US BEAVERTON,12-15-2024,1,-69.20,,,,
P21119-755,AplPay BEAN,07-24-2025,1,-8.48,,,,
P21119-17,SNIFFIES,10-01-2025,11,-295.74,,,,
P21119-133,PEACOCK*123D2 PREMIUNEW,04-04-2024,1,-5.99,,,,
P21119-192,SERVICE CHARGES,10-03-2025,32,-1062.00,,,,
P21119-306,PEACOCK*B116C PREMIUNEW,12-04-2024,1,-7.99,,,,
P21119-461,Walgreens,07-03-2025,19,-793.76,,,,
P21119-690,Laz Parking,03-31-2025,1,-18.00,,,,
P21119-763,CLOUD QWFSLC,01-01-2024,1,-0.05,,,,
P21119-25,Rocket Money,09-29-2025,32,-101.94,,,,
P21119-84,AplPay PATH,07-25-2025,43,-129.00,,,,
P21119-249,MYSS COM,01-06-2024,1,-313.20,,,,
P21119-314,DOF/PROPERTY TAX,11-05-2023,1,-118.30,,,,
P21119-370,ROCHESTOWN PARK,08-11-2025,1,-161.20,,,,
P21119-453,Wendy's,09-21-2025,8,-121.94,,,,
P21119-477,BEST BAGEL,03-14-2025,1,-23.44,,,,
P21119-518,HP Instant,09-24-2025,32,-78.03,,,,
P21119-29,De Piero's,05-05-2023,1,-19.75,,,,
P21119-88,THERANEST MONTHLY,09-24-2025,32,-1417.75,,,,
P21119-180,Duane Reade,08-12-2025,21,-289.48,,,,
P21119-253,dhgate.com -,09-26-2025,1,-169.37,,,,
P21119-318,PEACOCK*A2DB0 PREMIUNEW,05-04-2024,1,-5.99,,,,
P21119-374,CHECK #,07-22-2025,3,-1485.00,,,,
P21119-457,AplPay ADAM'S,06-25-2025,1,-9.04,,,,
P21119-522,Superhuman,10-12-2025,14,-350.00,,,,
P21119-751,AplPay CHELSEA,03-31-2025,3,-355.00,,,,
P21119-137,PEACOCK*309C7 PREMIUNEW,07-04-2023,1,-4.99,,,,
P21119-196,TRUTHFINDER CA,10-08-2025,30,-329.70,,,,
P21119-465,Bespoke,10-10-2025,7,-436.42,,,,
P21119-694,IPARK 338,09-18-2025,4,-266.00,,,,
P21119-743,AplPay CLINTON,09-07-2025,1,-16.94,,,,
P21119-767,Psychotheraphy,03-28-2025,1,-297.00,,,,
P21119-21,REMOVAL OF,03-14-2024,1,-7.21,,,,
P21119-80,CARE.com,02-26-2025,26,-878.70,,,,
P21119-245,PHONE.COM XXXX7880,03-03-2024,1,-23.98,,,,
P21119-310,Residence Inn,01-29-2025,7,-3384.35,,,,
P21119-473,LA DELICE,06-25-2025,1,-20.80,,,,
P21119-514,PwP seemyhelp.c,03-04-2025,3,-272.54,,,,
P21119-13,MEMBERSHIP FEE,11-09-2023,1,0.00,,,,
P21119-188,AplPay MOONLIGHT,05-21-2023,1,-4.37,,,,
P21119-302,AplPay TRADE,10-11-2025,1,-113.13,,,,
P21119-506,AIR TICKETS,04-28-2024,1,-349.78,,,,
P21119-759,Quicken,06-22-2025,7,-864.53,,,,
P21119-11,MERCHANT BANKCD,10-03-2025,32,-958.40,,,,
P21119-259,DigitalRiver US,01-17-2024,1,-108.82,,,,
P21119-300,The Clarendon,01-31-2025,1,-414.26,,,,
P21119-463,L CITY,07-24-2023,3,-43.53,,,,
P21119-504,IPHONE CITIZ*payment,12-10-2024,1,-66.58,,,,
P21119-528,UPS,04-02-2023,3,-64.07,,,,
P21119-692,LGA E,06-26-2023,1,-10.22,,,,
P21119-27,DEA REGISTRATION,03-01-2024,1,-888.00,,,,
P21119-86,"Scribd, Inc",11-12-2024,21,-251.79,,,,
P21119-316,PEACOCK*C03C5 PREMIUNEW,10-04-2023,1,-5.99,,,,
P21119-372,RENEWAL MEMBERSHIP,08-15-2025,9,-2355.00,,,,
P21119-471,NYC DEPT,08-29-2025,6,-28047.99,,,,
P21119-749,CREATIVERICAXXXXXX7733 NY,06-18-2023,2,-232.13,,,,
P21119-186,SP SECURITY,08-13-2023,1,-108.86,,,,
P21119-251,Digitalocean,09-01-2025,6,-302.61,,,,
P21119-455,Home,04-28-2025,1,-70.77,,,,
P21119-479,LAST STATEMENT,12-22-2024,1,-15148.21,,,,
P21119-520,Amazon Kindle,09-24-2025,30,-356.55,,,,
P21119-757,CLOUD JKVN6P,12-13-2023,1,-0.05,,,,
P21119-19,McDonald's,09-23-2025,36,-473.58,,,,
P21119-135,CHELSEA CHARMING,07-17-2025,1,-33.51,,,,
P21119-194,Marketplace Iga,08-15-2023,1,-12.90,,,,
P21119-243,PHONE.COM XXXX3718,11-03-2023,1,-23.69,,,,
P21119-308,SiteGround,08-09-2025,3,-1739.28,,,,
P21119-512,ADOBE PRODUCTS,01-01-2024,10,-108.80,,,,
P21119-741,WHISKY RIVER,04-04-2024,1,-25.56,,,,
P21119-765,CLOUD NBV8H3,10-01-2024,1,-0.05,,,,
P21119-23,Google,10-21-2025,199,-3302.67,,,,
P21119-82,THERANEST CLIENTPORTBIRMINGHAM,03-25-2025,26,-169.78,,,,
P21119-139,PEACOCK*2DFD1 PREMIUNEW,01-04-2025,1,-7.99,,,,
P21119-198,Masterclass,04-27-2025,1,-144.00,,,,
P21119-247,ELEVENLABS.IO NEW,10-19-2025,23,-111.00,,,,
P21119-312,Chestnut,07-03-2025,1,-32.64,,,,
P21119-516,PwP pbpayhelp.c,04-08-2024,2,-39.90,,,,
P21119-745,STEPHENSON BAR-B-Q,07-02-2023,2,-67.28,,,,
P21119-769,CLOUD NGM9SX,03-01-2024,1,-0.05,,,,
P21119-255,Discount Club,06-04-2023,1,-19.97,,,,
P21119-459,Best Buy,10-11-2025,30,-8339.82,,,,
P21119-500,Clear,07-10-2024,2,-368.00,,,,
P21119-524,usr.setravieso.com -,08-18-2025,1,-2.99,,,,
P21119-15,TASKER ON,11-13-2024,12,-1566.23,,,,
P21119-131,PEACOCK*9D595 PREMIUNEW,08-04-2023,1,-4.99,,,,
P21119-190,FREESHIPPING.COM XXX-XXX-9185,03-22-2025,26,-476.00,,,,
P21119-304,AplPay SOCO,06-28-2025,1,-13.50,,,,
P21119-467,NYCDOT PARKNYC,09-04-2025,34,-339.90,,,,
P21119-508,ALLENDALE MOTORS,12-03-2024,2,-166.26,,,,
P21119-696,BUZZFEED/IPORTE ST2844,07-03-2025,1,-51.32,,,,
P21119-761,QUINNS BON,08-04-2025,1,-4.06,,,,
P21119-182,Eyebuydirect Tx,09-26-2023,1,4.00,,,,
P21119-376,Shavers,11-26-2023,1,-97.97,,,,
P21119-451,AplPay ABC,07-07-2025,1,-333.09,,,,
P21119-475,Xbyte Technologies,10-04-2023,2,-7647.00,,,,
P21119-753,Starbucks New,08-12-2025,1,8.57,,,,
P21119-36,Microsoft Msbill,08-29-2024,5,6436.87,,,,
P21119-95,PEACOCK*E1587 PREMIUNEW,02-04-2024,1,-5.99,,,,
P21119-155,DEPARTMENT OF,08-26-2024,1,-128.63,,,,
P21119-325,DRI*LOGI STORE,07-21-2024,1,-240.59,,,,
P21119-384,Rocket Software,08-29-2025,3,-2036.56,,,,
P21119-400,SP 32DEGREES,12-02-2024,1,-45.98,,,,
P21119-588,21ST ST,07-23-2023,1,-33.73,,,,
P21119-702,AD PARKING,02-21-2025,1,-5.33,,,,
P21119-147,TST* SULLIVAN,08-28-2024,2,-47.06,,,,
P21119-268,Federal Express,08-31-2025,2,-42.75,,,,
P21119-416,Seed,07-31-2024,1,-30.05,,,,
P21119-645,HUDSONSTXXXX 1740,01-13-2025,2,-33.38,,,,
P21119-710,IMDB IMDB.COM,07-20-2025,3,-489.90,,,,
P21119-276,ESPOSITO MEAT,08-24-2025,1,-20.32,,,,
P21119-580,OPENAI* CHATGPT,07-11-2025,1,-21.78,,,,
P21119-653,"CPI*GREEN FIG,",08-01-2025,3,-11.75,,,,
P21119-718,Belk,06-29-2023,1,-153.56,,,,
P21119-774,Ny Penn,08-12-2025,4,0.00,,,,
P21119-204,MAILED INC,05-16-2025,1,-1.25,,,,
P21119-260,MT. OLIVE,09-21-2025,1,-18.84,,,,
P21119-333,DDOT *MULTI,08-16-2023,1,-4.60,,,,
